"subject","region","epoch","eyeState","CpLoc_delta","CpLoc_theta","CpLoc_alpha","CpLoc_beta_smr","CpLoc_beta","CpLoc_gamma"
"010005",2,8,0,"[3,10,12,13,13,13,13,13,20,22]","[8,9,10,25,25,26,26,26,26]","[11,15,17,17,20,26,27]","[19,22,26]","[]","[4,5,7,7,10,17,20,21,23]"
"010005",3,8,0,"[3,3,3,9]","[8,10,14,17,20,22,25,25,26,26,27]","[3]","[8,25]","[6,15]","[5,8,11,19,21]"
"010005",4,8,0,"[22,22]","[3,10,11,13,17,22]","[3,5,11,18,20,22,23,24,27,27]","[26]","[]","[3,6,14]"
"010005",5,8,0,"[18,20,21,21,21,23,23,24,25,26,27,27,27]","[16]","[6,7,9,13,14,17,18,24,26,27]","[5,8,26]","[20,21]","[12,14,14,15,16,18,19,20,26,27,27,27]"
"010005",6,8,0,"[3,5,7,22]","[5,8,11,14,21,23,24,27]","[5,14,18,20,20]","[23,24,24,24,24,27,27]","[3,4,12,19]","[15,17,19,19,20,20]"
"010005",7,8,0,"[12,27]","[3,4,4,6,7,7,9,10,10,10,11,21,23,25,25]","[3,3,4,4,4,4,5,6,9,10,13,14,14,16,17,17,17,18,19,19,20,20,21,21,22,22,23]","[25,27,27]","[]","[3,3,4,7,8]"
"010006",1,1,1,"[3,6,9,9]","[]","[12,15,24,24,26,26]","[3,3,6,9]","[6]","[]"
"010006",2,1,1,"[3,6,7,8,19]","[15]","[5,8,9,10,11,11,12,12,13,15,16,18,21,23,23,27]","[12]","[3,4,4]","[27,27]"
"010006",3,1,1,"[3,5,6,6,8,8,9,11,11,12,12,22]","[10]","[5,12,12,15,18,19,23]","[3,3,3,6]","[3,8,14]","[9]"
"010006",4,1,1,"[6]","[]","[10,11,11,13,15,22,22,22,23,25,27,27,27,27,27]","[]","[4,6,6,7]","[]"
"010006",5,1,1,"[]","[7,8]","[10,13,14,15,15,15,16,18,19,21,22,25]","[3,10]","[3,3,7,10,10]","[8,11,15,23]"
"010006",6,1,1,"[4,6,8,8,9,20]","[11,16]","[8,11,11,11,13,14,16,17,17,17,19,19,20,25]","[11,13,16]","[3,4,20,23]","[3,5,7,14]"
"010006",7,1,1,"[4,5,9]","[4,8]","[9,12,12,14,14,17,21,22,23,25,26,27,27,27]","[4,6,8,10,11,13,16,19,20]","[3,12]","[7,8,11,14,22]"
"010006",1,2,1,"[]","[]","[]","[]","[]","[]"
"010006",2,2,1,"[4,7]","[]","[]","[11,14,17]","[23]","[16,19,23,27]"
"010006",3,2,1,"[]","[]","[]","[]","[]","[]"
"010006",4,2,1,"[]","[]","[]","[6,11,14,16]","[4,6]","[19,23,27]"
"010006",5,2,1,"[4]","[8,9,16,18]","[4,12,14]","[20,24,27,27]","[4,5,14,18]","[]"
"010006",6,2,1,"[3,5,5,7,27]","[]","[]","[18]","[10]","[]"
"010006",7,2,1,"[6,7,8,8,8,12]","[12]","[12]","[5,9,13,15,16]","[]","[]"
"010006",1,3,1,"[9,9,12,12,14,16,25,26,26,26,26]","[5,9,21]","[21,21,21,22,24,27]","[6,9]","[6,10,13]","[3,4,5,5,6,8,9,17,27]"
"010006",2,3,1,"[5,6,6,8,10,11,14,15,15,16,18,19,21,21,22,26,27]","[3,9,12,15,22,27]","[3,4,26,26]","[3,6,9,21,22,27]","[3,5,6,7,9,12,12,18,25,26]","[3,3,3,5,6,9,9,10,20]"
"010006",3,3,1,"[7,10,11,11,13,13,15,15,16,17,19,21,23,24,25,25,25]","[13,16,24,26,27,27]","[8,13,15,18]","[8,15,19,27]","[26,27]","[3,3,4,4,5,5,6,6,9,9,20]"
"010006",4,3,1,"[4,4,7,7,7,9,10,12,13,13,14,16,16,19,19,19,23,25,25,26]","[22]","[3,3,4,22,24,24,25,26,27,27]","[7,10,10]","[]","[3,3,5,5,7,8,10,10]"
"010006",5,3,1,"[3,3,5,6,7,8,9,10,20,25]","[]","[3,3,6,9,9,13,14,14,14,17,18,20,25,26]","[3,21]","[4,6,6,9,10,11,19,25,25,25,25,27]","[3,3,5,6,6,25]"
"010006",6,3,1,"[4,6,7,9,9,10,12,12,12,12,13,14,15,15,15,16,18,19,22,22,23,24,25,25,25,27]","[21,22,22,22,23,24,25,26,27]","[3,3,3,6,7,10,12,12,12,14,15,15,18,18,21,27,27]","[3,7,9,9,9,11,12,17,18,19,20,21]","[3,6,7,14,21,24,24,25,25,25,26,26]","[3,3,3,3,3,6,6,6,6,6]"
"010006",7,3,1,"[6,8,14,14,14,14,15,15,16,16,17,17,19,20,21,21,22,22,24,24,26,27,27]","[27]","[4,4,5,13,15,16,16,18,18,18,27,27]","[5,7,7,8,8,9,9,10,11,11,11,19]","[3,3,6,6,9,10,11,13,21,22,24,24,25,25,25,25,25,27]","[3,3,3,3,4,4,5,6,9]"
"010006",1,4,1,"[]","[4,5,5,5,9,16,19,22]","[]","[8,14,19,22,26]","[4]","[27,27]"
