"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010005",1,7,0,6,0,0,28,6,5
"010005",2,7,0,3,2,2,41,6,6
"010005",3,7,0,1,0,0,7,2,0
"010005",4,7,0,4,3,3,16,4,5
"010005",5,7,0,4,5,4,5,4,20
"010005",6,7,0,2,3,0,13,3,2
"010005",7,7,0,3,8,6,5,3,13
"010005",1,8,0,0,0,0,0,0,0
"010005",2,8,0,0,0,0,3,0,0
"010005",3,8,0,0,0,0,4,1,2
"010005",4,8,0,2,4,1,0,0,2
"010005",5,8,0,0,0,2,0,0,6
"010005",6,8,0,0,0,0,1,0,6
"010005",7,8,0,1,10,1,4,2,2
"010006",1,1,1,0,0,0,0,0,0
"010006",2,1,1,0,0,7,1,0,1
"010006",3,1,1,0,0,11,0,0,3
"010006",4,1,1,0,0,4,1,6,3
"010006",5,1,1,0,0,6,1,6,2
"010006",6,1,1,0,0,9,4,1,10
"010006",7,1,1,0,1,7,1,0,2
"010006",1,2,1,0,0,0,0,0,0
"010006",2,2,1,0,0,0,0,0,1
"010006",3,2,1,0,0,0,0,0,0
"010006",4,2,1,0,0,0,0,1,0
"010006",5,2,1,0,0,0,0,1,0
"010006",6,2,1,0,0,0,0,0,0
"010006",7,2,1,0,0,0,0,4,0
"010006",1,3,1,6,0,1,0,2,8
"010006",2,3,1,8,2,2,2,5,5
"010006",3,3,1,5,1,2,0,0,3
"010006",4,3,1,9,0,0,0,0,5
"010006",5,3,1,12,0,2,0,3,0
"010006",6,3,1,22,0,5,1,0,7
"010006",7,3,1,30,0,0,0,4,5
"010006",1,4,1,2,1,1,0,1,3
"010006",2,4,1,1,3,0,1,1,3
"010006",3,4,1,1,1,6,0,5,3
"010006",4,4,1,0,4,0,1,0,0
"010006",5,4,1,2,9,2,4,0,1
"010006",6,4,1,7,6,1,2,0,2
"010006",7,4,1,5,5,1,2,2,1
"010006",1,5,1,5,2,7,0,0,0
"010006",2,5,1,6,2,12,2,2,2
"010006",3,5,1,6,0,11,6,0,6
"010006",4,5,1,3,0,2,1,0,0
"010006",5,5,1,7,1,2,1,0,2
"010006",6,5,1,5,0,3,0,1,2
"010006",7,5,1,3,0,1,1,4,0
"010006",1,6,1,11,4,9,0,3,10
"010006",2,6,1,5,9,12,2,5,12
"010006",3,6,1,8,2,6,1,6,7
"010006",4,6,1,3,2,2,1,2,20
"010006",5,6,1,21,6,13,1,1,11
"010006",6,6,1,7,8,6,4,2,23
"010006",7,6,1,7,4,11,4,4,26
"010006",1,7,1,1,2,1,0,1,10
"010006",2,7,1,1,1,17,4,3,8
"010006",3,7,1,2,0,15,0,1,3
"010006",4,7,1,0,0,5,2,1,24
"010006",5,7,1,4,7,11,4,0,15
"010006",6,7,1,9,2,18,4,4,7
"010006",7,7,1,7,5,16,2,9,9
"010006",1,8,1,1,5,6,2,4,9
"010006",2,8,1,2,7,4,11,2,13
"010006",3,8,1,4,8,2,3,9,6
"010006",4,8,1,8,5,9,16,3,27
"010006",5,8,1,17,9,20,11,10,8
"010006",6,8,1,25,12,10,5,11,22
"010006",7,8,1,15,5,7,6,6,25
"010006",1,1,0,0,0,7,0,0,1
"010006",2,1,0,2,2,17,0,1,2
"010006",3,1,0,3,1,10,3,2,10
"010006",4,1,0,2,9,14,2,8,14
"010006",5,1,0,9,18,27,2,9,19
"010006",6,1,0,3,8,26,2,8,12
"010006",7,1,0,9,8,18,5,13,14
"010006",1,2,0,4,1,4,1,0,1
"010006",2,2,0,3,0,20,7,1,5
"010006",3,2,0,2,0,8,2,4,9
"010006",4,2,0,11,2,3,0,3,10
"010006",5,2,0,8,13,9,0,2,16
"010006",6,2,0,12,10,9,2,6,28
"010006",7,2,0,24,0,12,2,11,26
"010006",1,3,0,1,1,1,1,0,20
"010006",2,3,0,2,2,9,5,0,30
"010006",3,3,0,2,0,10,9,0,14
"010006",4,3,0,4,0,4,5,8,40
"010006",5,3,0,12,6,12,1,4,25
"010006",6,3,0,9,4,10,4,8,21
"010006",7,3,0,9,7,10,7,17,24
"010006",1,4,0,6,1,1,7,3,19
"010006",2,4,0,10,2,24,9,4,24
"010006",3,4,0,9,1,7,10,2,20
"010006",4,4,0,14,0,14,11,6,16
"010006",5,4,0,20,10,28,0,7,23
"010006",6,4,0,25,1,36,2,6,30
"010006",7,4,0,23,1,33,5,9,30
"010006",1,5,0,11,0,1,1,7,24
"010006",2,5,0,15,9,12,7,9,33
"010006",3,5,0,16,0,5,0,4,29
"010006",4,5,0,7,2,9,5,0,34
"010006",5,5,0,12,6,38,10,7,45
"010006",6,5,0,12,0,14,0,6,52
"010006",7,5,0,17,4,39,3,2,57
"010006",1,6,0,8,8,3,5,18,19
"010006",2,6,0,20,17,5,7,19,21
"010006",3,6,0,19,4,6,0,10,19
"010006",4,6,0,19,9,3,3,29,32
"010006",5,6,0,22,30,14,1,33,31
"010006",6,6,0,20,15,8,4,34,42
"010006",7,6,0,27,21,26,4,39,40
"010006",1,7,0,7,9,3,7,6,10
"010006",2,7,0,24,23,6,5,15,12
"010006",3,7,0,20,8,5,1,17,10
"010006",4,7,0,2,11,3,2,12,29
"010006",5,7,0,19,2,17,3,26,28
"010006",6,7,0,19,10,0,6,19,35
"010006",7,7,0,6,1,10,0,13,36
"010006",1,8,0,15,8,4,8,15,29
"010006",2,8,0,19,11,26,6,1,31
"010006",3,8,0,7,13,3,3,3,22
"010006",4,8,0,44,9,6,5,17,11
"010006",5,8,0,57,7,4,4,6,19
"010006",6,8,0,26,18,11,0,16,40
"010006",7,8,0,31,14,7,9,27,22
"010007",1,1,1,1,1,1,0,0,1
"010007",2,1,1,9,0,2,0,2,0
"010007",3,1,1,2,0,0,0,5,1
"010007",4,1,1,0,1,0,3,1,2
"010007",5,1,1,0,0,0,0,2,0
"010007",6,1,1,0,0,1,1,1,3
"010007",7,1,1,1,0,1,10,3,8
"010007",1,2,1,0,0,0,0,0,0
"010007",2,2,1,0,0,0,1,0,1
"010007",3,2,1,0,0,0,0,0,0
"010007",4,2,1,3,0,0,0,0,0
"010007",5,2,1,0,0,0,0,0,0
"010007",6,2,1,2,0,0,0,0,0
"010007",7,2,1,0,0,0,1,0,0
"010007",1,3,1,6,0,5,3,1,1
"010007",2,3,1,0,1,8,4,0,0
"010007",3,3,1,0,0,4,0,1,0
"010007",4,3,1,0,0,2,4,0,0
"010007",5,3,1,1,1,3,3,0,0
"010007",6,3,1,0,0,2,2,1,1
"010007",7,3,1,0,0,3,6,0,2
"010007",1,4,1,1,2,6,1,0,0
"010007",2,4,1,2,1,8,0,1,1
"010007",3,4,1,0,1,8,0,0,0
"010007",4,4,1,2,1,5,3,0,0
"010007",5,4,1,0,0,0,2,0,0
"010007",6,4,1,1,3,8,2,0,0
"010007",7,4,1,2,0,4,4,2,0
"010007",1,5,1,4,0,4,0,0,1
"010007",2,5,1,2,0,20,2,1,1
"010007",3,5,1,5,0,11,4,0,0
"010007",4,5,1,0,1,3,0,1,0
"010007",5,5,1,0,4,1,3,0,0
"010007",6,5,1,10,3,5,3,2,0
"010007",7,5,1,0,0,0,0,0,0
"010007",1,6,1,1,1,8,0,0,1
"010007",2,6,1,0,1,8,0,1,6
"010007",3,6,1,0,1,11,1,7,5
"010007",4,6,1,3,3,10,2,1,3
"010007",5,6,1,1,6,5,4,0,5
"010007",6,6,1,2,1,7,4,3,5
